# ==============================================================================
# Rime 快速文本与代码片段 (Snippets) 配置表
# 格式：触发词<Tab>展开文本<Tab>提示说明
# 支持换行符 \n 和制表符 \t
# ==============================================================================
/sh	#!/usr/bin/env bash\nset -euo pipefail\n	Bash 脚本头部模板
/py	#!/usr/bin/env python3\n# -*- coding: utf-8 -*-\n	Python 脚本头部模板
/git	✨ Feat: 	新功能/特性
/git	🔧 Fix: 	缺陷/补丁修复
/git	📝 Docs: 	文档/注释更新
/git	💄 UI: 	界面样式/美化
/git	🚀 Update: 	升级/重构优化
/git	⚙️ Chore: 	日常维护/构建
/curl	curl -fsSL -H "Content-Type: application/json" -X POST 	cURL POST 请求模板
/mail	125110985@qq.com	英文邮件落款
/thx	Thank you for your time and assistance.	英文邮件致谢
/lorem	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.	标准拉丁占位假文
/lorem	昔人已乘黄鹤去，此地空余黄鹤楼。黄鹤一去不复返，白云千载空悠悠。	中文排版占位假文
